uci,index
g3f4,456
f7f8,457
c4e6,458
g2e4,459
e1f1,460
c6d5,461
e7h7,462
d5g2,463
h7h4,464
g2d5,465
g2c6,466
d2f3,467
d4d6,468
b8b7,469
d1d6,470
f3e5,471
d6d1,472
a4d1,473
e8e7,474
b7g2,475
d2c4,476
b8b4,477
b4a4,478
d1d4,479
c4d6,480
d4d1,481
d4d3,482
g2f1,483
d4e4,484
d4d7,485
b7c6,486
c4c3,487
b2c3,488
e6e5,489
b7d5,490
a4a7,491
b8c8,492
a4c6,493
a4a6,494
a6c6,495
c4a2,496
e7f7,497
f6g6,498
f7c7,499
a2d5,500
d3b5,501
d8d6,502
g3f2,503
c4f1,504
b5b4,505
c4e2,506
h3c3,507
d4c5,508
a4c4,509
b1d2,510
b6b2,511
b8d7,512
a3a4,513
f6h5,514
c8f5,515
f3h4,516
e4g6,517
a1b1,518
h1g1,519
d8e7,520
d4e5,521
a8e8,522
g1e1,523
e7f8,524
h1e1,525
g8e8,526
d3h7,527
g8g2,528
h4h5,529
d3e2,530
d4e3,531
e2h5,532
h5f3,533
g2g7,534
a8b8,535
d1d5,536
a4e8,537
c8e8,538
e1e8,539
e1b1,540
c8b8,541
d1a1,542
a4b4,543
h6g6,544
f5g6,545
h8g8,546
h5g5,547
g6h6,548
c8c6,549
e8e5,550
e1e5,551
b3a4,552
h6h8,553
b3e6,554
c8c5,555
e5g6,556
h8g7,557
g4g2,558
f4g2,559
h2g2,560
h6a6,561
h6f6,562
c8c7,563
h3g4,564
g4h5,565
h4g5,566
d6d2,567
d2d8,568
b4b7,569
a4f4,570
h7g7,571
f4b4,572
b4b8,573
a7b7,574
d3d6,575
b4h4,576
b4b6,577
f6e7,578
b6b7,579
d6b6,580
b6b1,581
f4a4,582
b1b2,583
a4a1,584
h2g1,585
a1a7,586
b4b5,587
d3d4,588
d8d5,589
d5a5,590
c6e7,591
a5d5,592
d5d8,593
e7g6,594
e4e5,595
e6f7,596
c7d8,597
d6e6,598
d6d7,599
g6g7,600
e6d7,601
b6d8,602
c5e4,603
g5e4,604
e1e4,605
c2e4,606
e4h4,607
c1d1,608
b6c6,609
h4f4,610
g5f7,611
c2c7,612
c5d3,613
c2d3,614
e3b3,615
b6c7,616
c2h7,617
h7h8,618
f7f4,619
g8e7,620
c3e4,621
f3d2,622
d4f4,623
b5f1,624
c3e2,625
f4e5,626
d5f6,627
d4c6,628
e7d6,629
a4a3,630
f1a6,631
g8h6,632
h6f5,633
d1h5,634
e4f5,635
a7a8,636
c7b6,637
b6a6,638
b8c7,639
b5b6,640
c7c8,641
a6a7,642
d6c5,643
c6b7,644
c6f3,645
f3b7,646
f5h3,647
h3f5,648
b7f3,649
f7b3,650
d1g4,651
f3d1,652
c6b5,653
b5d3,654
a5d2,655
c1a3,656
d8h4,657
h4e1,658
c5g1,659
d1f3,660
h4h2,661
d8f6,662
f4c1,663
g4h3,664
f8g6,665
g6e5,666
d4f5,667
g5f6,668
d4f3,669
g5e3,670
e3c5,671
a5a6,672
a8f8,673
c5a7,674
d4e6,675
e6f8,676
e5g4,677
c3c2,678
e6f4,679
f8e6,680
f4e6,681
e1d2,682
h4f2,683
e4f3,684
g2f3,685
e5f7,686
h3h4,687
d6c7,688
f7e5,689
d6b7,690
d2c2,691
c2b3,692
d5b7,693
b7h1,694
c6e4,695
f4f5,696
e4d3,697
f3e4,698
b5e8,699
c6a4,700
e6g4,701
g6f7,702
e2g1,703
e3a7,704
e2d4,705
e7c5,706
h3f1,707
h4e7,708
f8d7,709
c8c4,710
c4f4,711
f4e4,712
e2c3,713
h4f6,714
e5d7,715
e2d1,716
f6h7,717
f2f1,718
c7d7,719
f6e8,720
d7e5,721
e2d3,722
c4c5,723
e1e7,724
d6f6,725
h8h4,726
d3f1,727
e2e5,728
e6e3,729
h8h7,730
d6g6,731
h8c8,732
h8h6,733
g6g2,734
h5f5,735
e5c5,736
g8g6,737
g6d6,738
f8f6,739
g6g8,740
b7d7,741
d2e2,742
c2c5,743
c5h5,744
d2f2,745
b3b6,746
b1d1,747
f4d6,748
c7d6,749
d7b6,750
g6e8,751
e8h5,752
f7h5,753
a8b7,754
b7c7,755
c5b4,756
b4a5,757
b7a7,758
a7b8,759
b6b5,760
e6c6,761
h8e8,762
h8h5,763
e1c1,764
d8b8,765
b6a5,766
c3a5,767
e8c7,768
c3d4,769
g7d4,770
d1d8,771
d5e6,772
d5e5,773
d4c4,774
c3b2,775
e3f3,776
f3g3,777
g3g2,778
g7g8,779
c6b6,780
g3f5,781
f2h4,782
c3a4,783
d3c2,784
d4c2,785
a5h5,786
h5d1,787
b5c4,788
b3e3,789
b4c5,790
b2d4,791
c5e7,792
c1c4,793
c4c1,794
b7a8,795
f8c8,796
a6b5,797
b1c1,798
f6d4,799
e7b4,800
d2b2,801
h3g3,802
a4a2,803
a2a7,804
b6f6,805
h3g2,806
d2d6,807
f3g4,808
a6a8,809
b2b7,810
f6b6,811
a7c7,812
d6d8,813
d8d2,814
d6d3,815
b6b8,816
d5c3,817
d8d4,818
g1e2,819
f3g2,820
h2h1q,821
g2h1,822
f2e4,823
f2h1,824
h4g4,825
g3h2,826
f2g4,827
h2h1n,828
g3f3,829
d3e5,830
h2h1r,831
h2h1b,832
h1g2,833
e4f2,834
d3f2,835
d3e1,836
g2f2,837
f4g4,838
e1d3,839
d4b5,840
f3g5,841
e6a6,842
a7e3,843
a6a1,844
e3c1,845
d2h6,846
e8d6,847
c5e6,848
e6g5,849
f7g8,850
f3e2,851
f2d1,852
d1f2,853
c8h3,854
g1g3,855
h3d7,856
a6b4,857
c2c1q,858
c8c1,859
g5c1,860
f5d6,861
d6e4,862
a7a8q,863
a8f3,864
c8c3,865
c3b3,866
b6a8,867
c3c8,868
f5e7,869
e7d5,870
c3c7,871
g5d8,872
b6c8,873
c8f8,874
f3f2,875
a8d5,876
c8a6,877
a6b7,878
a4c2,879
g3d6,880
b6d6,881
e4c3,882
d6g3,883
e4d2,884
f4d2,885
h5f6,886
a6a3,887
a3a8,888
b3b7,889
d2a2,890
h3f2,891
b5a4,892
a4b5,893
c1c2,894
e8a8,895
c1f1,896
e8c6,897
h2h1,898
b8e5,899
f7f1,900
a2e2,901
e2e7,902
g7h8,903
c7h2,904
h8h1,905
h1h2,906
e1g1,907
b5d7,908
g8c4,909
b7b4,910
d5f7,911
h7c7,912
e6a2,913
e5e7,914
h5f7,915
c7f7,916
h3h8,917
a1e1,918
c7c1,919
h3e3,920
c1e1,921
e3e1,922
a5c4,923
f6h6,924
e8c8,925
h6f4,926
f4f6,927
d6e8,928
f7h8,929
f8h8,930
